Age,Gender,Department,Study Hours Per Day,Attendance (%),Previous CGPA,Study Habit,Part-Time Job,Extracurricular Activities,Internet Access,Family Income Level,Parental Education Level,Stress Level,Sleep Quality,Number of Courses,Assignments Completed (%),Exam Score (%),Current CGPA
19,Male,Arts,6.8,90,6.87,Regular,No,No,Yes,Low,Master,Medium,Average,7,70,70,4.61
25,Male,Engineering,1.8,79,9.75,Irregular,Yes,Yes,Yes,Medium,High School,Medium,Average,3,79,44,6.74
23,Male,Science,2.5,66,8.66,Moderate,Yes,No,No,Medium,High School,Low,Poor,6,62,77,5.55
21,Female,Computer Science,9.1,98,7.99,Regular,No,Yes,No,Medium,Master,High,Good,7,83,42,5.04
26,Female,Computer Science,6.5,69,5.78,Moderate,Yes,Yes,Yes,Medium,Master,High,Average,4,53,92,4.5
23,Male,Business,1.1,97,5.78,Irregular,Yes,No,Yes,Medium,PhD,Low,Average,4,77,62,4.5
25,Female,Business,1.9,74,5.29,Moderate,No,Yes,Yes,High,PhD,Medium,Poor,5,87,76,4.5
17,Male,Science,7.0,71,9.33,Moderate,No,No,Yes,Low,Bachelor,Low,Poor,7,80,92,6.5
23,Male,Computer Science,1.0,62,8.01,Moderate,No,No,No,Low,Master,Low,Good,5,76,76,5.49
22,Male,Science,2.4,68,8.54,Moderate,No,No,No,Low,PhD,Low,Average,3,54,49,6.09
26,Male,Business,5.9,98,5.1,Regular,Yes,No,No,Low,Bachelor,Medium,Good,7,74,49,4.5
25,Female,Business,7.2,85,9.85,Regular,Yes,No,No,Low,Bachelor,Low,Average,3,52,58,6.73
17,Female,Computer Science,6.9,61,9.16,Irregular,No,Yes,No,Low,Bachelor,Medium,Good,5,82,56,6.4
20,Female,Arts,3.0,90,6.06,Regular,Yes,Yes,Yes,Low,PhD,Low,Poor,7,53,60,4.5
25,Male,Engineering,7.4,68,5.91,Regular,No,No,No,Low,Master,High,Average,5,74,53,4.5
20,Male,Business,3.1,61,5.92,Irregular,No,No,No,High,High School,Low,Good,7,69,48,4.5
26,Male,Business,3.9,58,6.52,Regular,Yes,Yes,No,Low,Bachelor,Low,Poor,5,83,85,4.71
19,Female,Arts,7.7,56,7.62,Regular,No,Yes,No,High,PhD,High,Poor,4,75,40,5.02
25,Male,Arts,6.8,77,7.16,Irregular,Yes,Yes,No,Medium,PhD,Medium,Good,5,54,90,5.16
18,Female,Science,8.6,63,6.46,Irregular,Yes,Yes,Yes,Low,High School,Medium,Average,4,84,84,4.5
20,Female,Science,6.9,80,8.06,Irregular,Yes,No,Yes,Medium,High School,Low,Average,5,77,52,5.32
22,Female,Engineering,6.1,68,5.7,Moderate,Yes,No,Yes,Medium,PhD,High,Poor,7,78,43,4.5
18,Female,Engineering,1.8,96,6.46,Moderate,No,Yes,No,Medium,Master,Medium,Average,7,58,40,4.5
24,Female,Computer Science,4.3,65,6.83,Irregular,Yes,No,Yes,High,High School,Low,Average,7,87,88,4.5
24,Female,Science,3.4,54,7.28,Irregular,No,Yes,Yes,Medium,PhD,High,Average,6,99,79,4.6
17,Male,Business,3.2,84,8.93,Irregular,No,No,No,Medium,High School,Medium,Poor,3,55,71,6.81
19,Male,Science,9.8,61,6.0,Moderate,No,Yes,No,Medium,Master,Medium,Good,7,68,73,4.5
26,Female,Business,4.5,74,7.57,Moderate,No,No,No,Low,Bachelor,High,Average,4,93,67,4.5
25,Female,Arts,9.0,70,7.96,Regular,Yes,Yes,Yes,Low,High School,High,Poor,7,60,70,5.77
21,Male,Science,6.7,85,5.23,Regular,Yes,Yes,Yes,High,Master,High,Poor,6,51,47,4.5
22,Female,Arts,8.2,72,8.04,Irregular,No,No,No,High,PhD,High,Good,4,96,78,5.54
20,Female,Engineering,5.5,65,5.85,Moderate,No,Yes,No,Low,High School,Low,Average,6,93,65,4.5
26,Male,Engineering,6.2,88,5.33,Moderate,Yes,No,Yes,High,High School,High,Average,4,93,97,4.5
18,Female,Computer Science,5.4,94,9.74,Moderate,No,No,Yes,Low,PhD,Medium,Good,5,58,73,5.76
27,Female,Science,2.8,91,9.83,Irregular,Yes,Yes,No,Medium,Bachelor,Medium,Good,3,70,93,5.92
24,Female,Arts,7.5,88,9.04,Regular,No,No,No,Medium,PhD,Low,Poor,3,73,93,5.95
27,Male,Business,3.5,63,6.52,Irregular,Yes,No,Yes,High,High School,Medium,Poor,6,83,42,4.5
22,Male,Engineering,1.2,80,5.49,Regular,No,No,No,Low,PhD,Medium,Good,3,71,98,4.5
21,Male,Engineering,6.8,54,8.42,Regular,No,No,Yes,Low,Master,High,Average,6,52,89,5.97
25,Female,Business,2.6,84,7.2,Irregular,Yes,No,Yes,High,PhD,Medium,Poor,6,61,51,4.52
17,Female,Arts,9.5,72,5.61,Regular,No,Yes,Yes,Low,High School,Low,Poor,6,77,40,4.5
21,Male,Arts,9.6,78,7.48,Regular,No,No,Yes,Medium,PhD,High,Average,3,79,93,4.87
22,Female,Science,9.2,92,5.17,Moderate,Yes,No,No,High,Bachelor,High,Poor,6,75,83,4.5
21,Female,Science,4.3,60,9.55,Regular,No,No,No,High,PhD,Low,Average,3,97,44,6.33
22,Female,Computer Science,1.1,67,6.29,Irregular,Yes,No,Yes,Low,Bachelor,High,Average,6,70,69,4.5
22,Female,Engineering,9.4,96,8.31,Irregular,Yes,No,Yes,High,Master,High,Average,7,77,69,5.65
23,Female,Science,4.9,61,6.56,Regular,No,Yes,Yes,Low,Bachelor,Low,Good,6,75,98,4.5
20,Male,Arts,9.7,58,7.6,Moderate,No,No,Yes,Low,PhD,High,Good,4,82,96,5.22
27,Female,Business,9.7,59,7.73,Moderate,No,Yes,Yes,Low,High School,Low,Good,6,70,56,5.54
24,Male,Arts,8.7,93,5.92,Regular,No,Yes,No,Low,Bachelor,Low,Average,5,84,87,4.5
23,Female,Engineering,3.7,66,9.85,Regular,No,Yes,No,Low,Master,Medium,Average,6,83,86,6.37
25,Male,Arts,4.5,87,8.88,Irregular,No,Yes,No,High,Bachelor,Medium,Good,4,90,62,5.44
23,Female,Computer Science,8.7,56,9.7,Regular,No,No,No,Medium,Bachelor,High,Poor,4,96,54,6.72
19,Male,Engineering,3.9,95,9.47,Moderate,Yes,Yes,Yes,Medium,Bachelor,High,Average,3,67,76,6.41
19,Female,Business,2.5,62,7.99,Regular,No,Yes,Yes,High,Master,Low,Poor,7,60,60,4.79
24,Male,Computer Science,6.0,89,9.61,Irregular,Yes,No,Yes,High,PhD,High,Poor,6,72,53,6.72
21,Female,Engineering,9.4,91,5.44,Irregular,No,No,Yes,Medium,Bachelor,Low,Average,3,97,41,4.5
20,Male,Business,7.3,58,5.98,Irregular,No,No,Yes,Medium,Bachelor,Low,Average,7,71,50,4.5
24,Female,Computer Science,6.1,99,5.23,Irregular,Yes,Yes,No,Medium,High School,High,Poor,6,66,90,4.5
22,Male,Computer Science,1.9,76,6.63,Irregular,No,No,Yes,Medium,Master,Low,Poor,5,54,78,4.55
18,Male,Engineering,6.5,51,6.94,Regular,No,No,No,Medium,Bachelor,Medium,Good,6,93,77,4.52
20,Female,Science,9.9,54,6.36,Regular,Yes,Yes,No,Low,Master,High,Good,4,60,99,4.6
27,Female,Computer Science,2.3,78,9.14,Regular,No,No,No,High,Bachelor,Medium,Average,4,79,73,6.45
20,Male,Computer Science,5.7,86,6.78,Regular,No,No,No,Low,PhD,High,Good,5,64,77,4.8
22,Female,Business,8.9,87,6.4,Irregular,No,No,Yes,Medium,PhD,Low,Good,3,76,89,4.5
22,Male,Arts,7.7,68,7.71,Moderate,Yes,No,No,Medium,Bachelor,High,Good,7,84,73,5.3
17,Male,Engineering,7.3,57,5.7,Regular,No,Yes,No,Medium,PhD,Medium,Good,6,82,57,4.5
24,Male,Engineering,7.3,97,9.01,Moderate,No,No,No,Low,Bachelor,Low,Poor,4,69,69,6.92
22,Female,Science,4.2,94,5.37,Regular,No,No,Yes,Low,PhD,High,Average,3,65,54,4.5
19,Male,Science,3.6,50,9.93,Regular,No,Yes,Yes,Medium,High School,High,Good,5,83,66,6.89
25,Male,Engineering,8.3,71,8.86,Moderate,Yes,No,Yes,Low,High School,High,Poor,4,51,90,6.42
18,Female,Science,8.3,66,5.99,Irregular,Yes,Yes,No,Low,High School,Medium,Poor,5,84,73,4.5
27,Female,Business,8.8,56,5.03,Regular,No,No,No,Medium,Master,Medium,Poor,6,89,91,4.5
24,Female,Engineering,9.2,74,9.08,Regular,No,Yes,Yes,Low,Master,High,Good,7,77,96,5.71
26,Female,Science,5.6,94,8.53,Regular,Yes,Yes,No,High,High School,Low,Good,4,96,77,6.02
19,Male,Engineering,5.5,53,8.65,Moderate,Yes,Yes,Yes,High,Master,Low,Average,4,88,72,5.88
21,Male,Arts,8.2,85,8.86,Irregular,No,Yes,Yes,High,PhD,Medium,Good,6,55,63,5.97
22,Male,Computer Science,6.8,55,5.37,Moderate,Yes,No,No,High,Bachelor,Low,Good,3,58,54,4.66
26,Male,Engineering,7.3,80,6.79,Moderate,No,Yes,No,Medium,Bachelor,Medium,Poor,7,69,99,4.5
22,Female,Computer Science,8.2,68,5.58,Irregular,Yes,No,No,Medium,Bachelor,High,Average,4,50,69,4.5
20,Male,Science,9.0,93,9.32,Moderate,Yes,Yes,No,Medium,High School,Medium,Good,7,57,94,6.82
19,Male,Computer Science,4.0,88,8.12,Irregular,Yes,Yes,Yes,High,Master,Medium,Good,4,72,81,5.71
20,Female,Engineering,4.4,76,6.65,Regular,Yes,Yes,Yes,High,PhD,High,Poor,7,52,90,4.97
17,Male,Arts,1.8,59,5.32,Irregular,No,No,Yes,Low,PhD,Low,Poor,5,53,56,4.5
20,Male,Science,6.2,75,6.55,Regular,Yes,Yes,Yes,Low,High School,Medium,Good,4,74,44,4.52
17,Male,Engineering,1.3,68,6.63,Moderate,Yes,No,Yes,High,PhD,Medium,Average,7,96,68,5.12
17,Male,Science,5.2,88,8.65,Moderate,No,No,No,High,PhD,High,Average,3,87,43,5.41
26,Male,Business,5.9,52,8.19,Regular,Yes,No,Yes,High,PhD,Low,Poor,5,64,49,5.41
22,Male,Computer Science,3.6,94,9.44,Moderate,Yes,No,Yes,High,PhD,Medium,Poor,5,70,95,6.58
21,Female,Business,6.3,62,7.36,Irregular,No,No,Yes,Low,Master,High,Good,3,84,56,4.85
27,Female,Engineering,1.3,99,5.6,Regular,Yes,No,No,High,PhD,Medium,Poor,7,95,49,4.5
20,Male,Arts,1.3,77,8.57,Moderate,No,No,No,Low,Bachelor,High,Good,6,63,56,5.87
27,Male,Science,8.4,69,8.8,Regular,No,No,No,High,High School,Low,Average,3,85,99,6.47
19,Female,Computer Science,4.2,77,7.81,Irregular,No,No,No,High,Master,Low,Average,7,61,59,5.13
17,Male,Science,2.1,57,8.85,Irregular,No,Yes,Yes,High,PhD,Low,Good,3,66,63,5.75
22,Male,Engineering,5.7,90,7.47,Moderate,Yes,Yes,Yes,Low,Master,Low,Poor,3,88,44,4.73
18,Male,Science,7.9,88,7.61,Irregular,No,Yes,No,Low,PhD,Medium,Average,4,58,73,5.02
24,Female,Computer Science,2.9,50,7.14,Regular,Yes,Yes,No,Medium,Bachelor,Medium,Poor,7,84,45,5.14
26,Male,Engineering,6.6,52,5.13,Irregular,Yes,Yes,Yes,High,High School,Low,Average,6,62,92,4.5
21,Female,Science,1.8,62,5.54,Regular,Yes,No,Yes,Medium,PhD,Low,Good,4,64,41,4.5
23,Male,Arts,1.5,77,5.16,Regular,Yes,No,No,Medium,PhD,Low,Good,3,67,52,4.5
26,Female,Engineering,5.8,98,8.18,Irregular,Yes,No,No,Low,PhD,Medium,Good,3,82,82,5.9
18,Female,Engineering,5.9,74,6.57,Moderate,Yes,No,No,Low,PhD,Low,Average,3,55,82,4.5
24,Male,Arts,6.7,82,7.54,Irregular,Yes,No,No,Medium,High School,Low,Poor,7,76,87,4.55
18,Female,Business,7.5,87,9.54,Regular,Yes,No,Yes,High,High School,Low,Poor,7,72,50,7.25
20,Male,Computer Science,9.8,55,6.25,Regular,Yes,No,Yes,Low,Bachelor,High,Poor,4,76,90,4.5
17,Female,Business,5.6,93,7.05,Irregular,Yes,Yes,Yes,High,High School,Low,Average,6,83,86,4.6
21,Male,Science,3.9,94,8.78,Moderate,No,Yes,No,High,PhD,High,Average,4,95,96,5.93
25,Male,Arts,8.2,81,6.14,Moderate,No,Yes,No,Medium,Bachelor,High,Average,5,87,62,4.5
17,Female,Business,3.4,94,5.38,Regular,No,Yes,Yes,Medium,Bachelor,Low,Average,3,63,94,4.5
25,Male,Engineering,5.0,96,6.45,Regular,Yes,No,Yes,Medium,Bachelor,High,Average,3,85,55,4.55
27,Male,Science,1.7,70,5.81,Moderate,No,No,Yes,Medium,PhD,Low,Poor,3,57,70,4.5
24,Female,Science,1.2,65,9.65,Irregular,No,No,Yes,Low,Master,Medium,Average,4,84,50,5.8
22,Male,Business,9.7,70,9.04,Regular,No,Yes,No,Low,PhD,Medium,Average,4,68,93,6.13
23,Male,Business,8.5,60,8.17,Regular,Yes,No,Yes,Medium,High School,Medium,Poor,3,79,55,5.33
19,Female,Arts,7.3,86,9.36,Moderate,Yes,No,Yes,Low,High School,Medium,Average,4,63,47,6.3
17,Female,Computer Science,4.7,85,9.02,Irregular,Yes,No,Yes,Medium,PhD,High,Poor,7,69,43,6.06
21,Male,Business,2.6,84,5.93,Moderate,Yes,Yes,Yes,High,PhD,Low,Poor,7,98,79,4.5
