iter	Passed	Remaining
0	0	125
1	0	113
2	1	110
3	1	108
4	2	106
5	2	104
6	2	103
7	3	102
8	3	101
9	4	101
10	4	100
11	5	100
12	5	99
13	5	100
14	6	99
15	6	100
16	7	99
17	7	98
18	8	98
19	8	97
20	8	97
21	9	96
22	9	96
23	10	95
24	10	95
25	11	95
26	11	95
27	11	94
28	12	93
29	12	93
30	13	92
31	13	92
32	14	91
33	14	92
34	15	91
35	15	91
36	15	91
37	16	90
38	16	90
39	17	89
40	17	89
41	18	88
42	18	88
43	18	87
44	19	87
45	19	87
46	20	86
47	20	85
48	20	85
49	21	85
50	21	84
51	22	84
52	22	83
53	23	83
54	23	82
55	23	82
56	24	82
57	24	81
58	25	81
59	25	80
60	26	80
61	26	79
62	26	79
63	27	78
64	27	78
65	28	78
66	28	77
67	29	77
68	29	76
69	29	76
70	30	76
71	30	75
72	31	75
73	31	74
74	32	74
75	32	74
76	32	73
77	33	73
78	33	72
79	34	72
80	34	71
81	35	71
82	35	70
83	35	70
84	36	70
85	36	69
86	37	69
87	37	68
88	38	68
89	38	68
90	38	67
91	39	67
92	39	66
93	40	66
94	40	65
95	41	65
96	41	64
97	41	64
98	42	64
99	42	63
100	43	63
101	43	62
102	43	62
103	44	61
104	44	61
105	45	60
106	45	60
107	45	60
108	46	59
109	46	59
110	47	58
111	47	58
112	48	57
113	48	57
114	48	57
115	49	56
116	49	56
117	50	55
118	50	55
119	51	54
120	51	54
121	51	53
122	52	53
123	52	53
124	53	52
125	53	52
126	54	51
127	54	51
128	54	51
129	55	50
130	55	50
131	56	49
132	56	49
133	57	48
134	57	48
135	57	48
136	58	47
137	58	47
138	59	46
139	59	46
140	59	45
141	60	45
142	60	45
143	61	44
144	61	44
145	62	43
146	62	43
147	62	42
148	63	42
149	63	41
150	64	41
151	64	41
152	64	40
153	65	40
154	65	39
155	66	39
156	66	39
157	67	38
158	67	38
159	67	37
160	68	37
161	68	36
162	69	36
163	69	36
164	70	35
165	70	35
166	70	34
167	71	34
168	71	33
169	72	33
170	72	33
171	72	32
172	73	32
173	73	31
174	74	31
175	74	30
176	75	30
177	75	30
178	75	29
179	76	29
180	76	28
181	77	28
182	77	27
183	78	27
184	78	27
185	78	26
186	79	26
187	79	25
188	80	25
189	80	25
190	80	24
191	81	24
192	81	23
193	82	23
194	82	22
195	83	22
196	83	22
197	83	21
198	84	21
199	84	20
200	85	20
201	85	19
202	86	19
203	86	19
204	86	18
205	87	18
206	87	17
207	88	17
208	88	16
209	89	16
210	89	16
211	89	15
212	90	15
213	90	14
214	91	14
215	91	13
216	91	13
217	92	13
218	92	12
219	93	12
220	93	11
221	94	11
222	94	11
223	94	10
224	95	10
225	95	9
226	96	9
227	96	8
228	97	8
229	97	8
230	98	7
231	98	7
232	98	6
233	99	6
234	99	5
235	100	5
236	100	5
237	100	4
238	101	4
239	101	3
240	102	3
241	102	2
242	103	2
243	103	2
244	103	1
245	104	1
246	104	0
247	105	0
248	105	0
